x-axis,F1
Hertz,dBV
+0.0E+00,-71.17798E+00
+50.00E+00,-87.29858E+00
+100.00E+00,-93.10669E+00
+150.00E+00,-96.87622E+00
+200.00E+00,-98.25806E+00
+250.00E+00,-100.15503E+00
+300.00E+00,-98.69019E+00
+350.00E+00,-102.78931E+00
+400.00E+00,-94.13940E+00
+450.00E+00,-96.47827E+00
+500.00E+00,-100.16479E+00
+550.00E+00,-93.91479E+00
+600.00E+00,-90.31616E+00
+650.00E+00,-97.87720E+00
+700.00E+00,-98.70239E+00
+750.00E+00,-105.16968E+00
+800.00E+00,-106.43677E+00
+850.00E+00,-99.53735E+00
+900.00E+00,-94.63989E+00
+950.00E+00,-79.47388E+00
+1.00000E+03,-20.35522E+00
+1.05000E+03,-75.41626E+00
+1.10000E+03,-94.92554E+00
+1.15000E+03,-100.67017E+00
+1.20000E+03,-98.99048E+00
+1.25000E+03,-97.33765E+00
+1.30000E+03,-100.14526E+00
+1.35000E+03,-102.34985E+00
+1.40000E+03,-96.33667E+00
+1.45000E+03,-99.93286E+00
+1.50000E+03,-111.83716E+00
+1.55000E+03,-100.66284E+00
+1.60000E+03,-108.81958E+00
+1.65000E+03,-104.11255E+00
+1.70000E+03,-99.89624E+00
+1.75000E+03,-106.44653E+00
+1.80000E+03,-102.54517E+00
+1.85000E+03,-102.25708E+00
+1.90000E+03,-101.58569E+00
+1.95000E+03,-100.66040E+00
+2.00000E+03,-69.76929E+00
+2.05000E+03,-104.63745E+00
+2.10000E+03,-94.71313E+00
+2.15000E+03,-113.70972E+00
+2.20000E+03,-103.67554E+00
+2.25000E+03,-102.58179E+00
+2.30000E+03,-101.84204E+00
+2.35000E+03,-97.16431E+00
+2.40000E+03,-101.45142E+00
+2.45000E+03,-105.21851E+00
+2.50000E+03,-101.13403E+00
+2.55000E+03,-111.38306E+00
+2.60000E+03,-90.44312E+00
+2.65000E+03,-102.93091E+00
+2.70000E+03,-96.85181E+00
+2.75000E+03,-94.58862E+00
+2.80000E+03,-110.18188E+00
+2.85000E+03,-102.99683E+00
+2.90000E+03,-96.94214E+00
+2.95000E+03,-88.87817E+00
+3.00000E+03,-33.28247E+00
+3.05000E+03,-85.31128E+00
+3.10000E+03,-97.64771E+00
+3.15000E+03,-99.25659E+00
+3.20000E+03,-99.78882E+00
+3.25000E+03,-106.03882E+00
+3.30000E+03,-104.27368E+00
+3.35000E+03,-102.93091E+00
+3.40000E+03,-93.54614E+00
+3.45000E+03,-100.37964E+00
+3.50000E+03,-112.21069E+00
+3.55000E+03,-100.93628E+00
